properties - ETA,properties - FIL,properties - NAME,properties - PLACES,properties - ind,properties - BACS
Université de Versailles - Saint Quentin en Yvelines (Public),2028,Licence - Lettres Modernes,68,99,68;25;6
Université de Versailles - Saint Quentin en Yvelines (Public),2029,Licence - Parcours Espagnol,82,100,69;23;7
Université de Versailles - Saint Quentin en Yvelines (Public),2029,Licence - Parcours Anglais,144,99,63;23;11
Université de Versailles - Saint Quentin en Yvelines (Public),2006,Licence - Administration économique et sociale,186,99,60;25;13
Université de Versailles - Saint Quentin en Yvelines (Public),2005,Licence - Portail Économie et Gestion,220,100,84;11;3
Université de Versailles - Saint Quentin en Yvelines (Public),2013,Licence - Sociologie,106,100,55;28;13
Université de Versailles - Saint Quentin en Yvelines (Public),2012,Licence - Géographie,58,100,72;22;2
Université de Versailles - Saint Quentin en Yvelines (Public),2010,Licence - Histoire,160,100,71;20;8
Université d'Amiens (Public),2039,Licence - Sciences de la vie et de la terre,225,99,89;9;1
Université d'Amiens (Public),2034,Licence - Physique,54,100,78;9;9
Université d'Amiens (Public),2020,Licence - ACTIVITES PHYSIQUES ADAPTEES ET DE SANTE (Portail STAPS),199,100,73;21;4
Université d'Amiens (Public),2020,"Licence - EDUCATION ET MOTRICITE (AMIENS, Portail STAPS)",275,100,68;25;6
Université d'Amiens (Public),2020,Licence - ENTRAINEMENT SPORTIF ET OPTIMISATION DE LA PERFORMANCE SPORTIVE (Portail STAPS),274,100,64;24;11
Université d'Amiens (Public),2035,Licence - Chimie,72,100,79;20;0
Université d'Amiens (Public),2032,Licence - Informatique,200,99,70;22;6
Université d'Amiens (Public),2033,Licence - Mathématiques,90,100,81;13;3
Université d'Amiens (Public),2043,Licence - Sciences pour la santé,225,99,68;30;1
Université d'Amiens (Public),2010,Licence - Histoire,205,100,76;21;2
Université d'Amiens (Public),2014,Licence - Psychologie,560,100,64;24;9
Université d'Amiens (Public),2012,Licence - Géographie et aménagement,65,99,83;12;0
Université d'Amiens (Public),2028,Licence - Lettres,130,100,71;12;14
Université d'Amiens (Public),2030,Licence - Langues étrangères appliquées,250,100,75;17;7
Université d'Amiens (Public),2029,"Licence - Langues, littératures & civilisations étrangères et régionales",250,100,79;13;5
Université d'Amiens (Public),2002,Licence - Droit,536,100,80;15;3
Université d'Amiens (Public),2005,Licence - Economie et gestion,378,99,66;24;8
Université d'Amiens (Public),2002,"Licence - DROIT, ANGLAIS",40,43,100;0;0
Université d'Amiens (Public),2045,Licence - PREMIERE ANNEE COMMUNE DES ETUDES DE SANTE (PACES),1180,98,95;3;1
Institut national universitaire Champollion (Public),2029,Licence - Anglais,100,99,87;5;7
Institut national universitaire Champollion (Public),2002,Licence - Droit,200,100,75;15;9
Institut national universitaire Champollion (Public),2012,Licence - Géographie et aménagement,60,100,81;12;6
Institut national universitaire Champollion (Public),2014,Licence - Psychologie,170,100,71;17;11
Institut national universitaire Champollion (Public),2010,Licence - Histoire,110,98,84;9;5
Institut national universitaire Champollion (Public),2013,Licence - Sociologie,100,100,58;26;13
Institut national universitaire Champollion (Public),2037,Licence - Sciences de la vie,100,99,91;4;2
Institut national universitaire Champollion (Public),2036,"Licence - Physique, chimie",45,100,79;16;0
Institut national universitaire Champollion (Public),2032,Licence - Programmation informatique pour l'entreprise et l'innovation technologique,60,100,63;31;4
Institut national universitaire Champollion (Public),2033,Licence - Mathématiques,60,100,100;0;0
Université Toulouse 1 - Antenne de Montauban (Public),2002,Licence - parcours Droit,150,100,72;22;5
Université de Toulon (Public),2029,"Licence - Licence Langues, Littératures et Civilisations Etrangères et Régionales - Spécialité Anglais",135,100,73;11;13
Université de Toulon (Public),2029,"Licence - Licence Langues, Littératures et Civilisations Etrangères et Régionales - Spécialité Espagnol",75,100,80;6;12
Université de Toulon (Public),2030,Licence - Licence Langues Etrangères Appliquées - Parcours Anglais/Allemand,40,94,64;14;21
Université de Toulon (Public),2028,Licence - Licence de Lettres ,140,100,75;15;6
Université de Toulon (Public),2002,Licence - Licence de Droit - Campus Toulon Centre Ville,460,99,69;17;11
Université de Toulon (Public),2005,Licence - Licence d'Economie et Gestion - Campus Toulon Centre Ville,335,99,58;19;21
Université de Toulon (Public),2020,Licence - Licence STAPS ,350,100,70;21;7
Université de Toulon (Public),2037,Licence - Licence de Biologie ,160,98,78;20;0
Université de Toulon (Public),2036,Licence - Licence de Physique et Chimie ,90,100,80;18;1
Université de Toulon (Public),2033,Licence - Licence de Mathématiques ,90,100,87;11;1
Université de Toulon - Antenne de Draguignan (Public),2002,Licence - Licence de Droit - Campus Draguignan,150,99,69;22;7
Avignon Université (Public),2030,Licence - Anglais - Espagnol,145,100,53;28;16
Avignon Université (Public),2029,Licence - ESPAGNOL,120,100,62;21;13
Avignon Université (Public),2029,Licence - Anglais ,130,100,69;16;12
Avignon Université (Public),2028,Licence - Lettres,140,100,64;4;27
Avignon Université (Public),2030,Licence - Anglais - Allemand,80,98,75;20;4
Avignon Université (Public),2002,Licence - Droit,303,100,64;20;12
Avignon Université (Public),2006,Licence - Science Politique et Europe,200,99,69;18;10
Avignon Université (Public),2012,Licence - Géographie et aménagement,120,100,63;22;11
Avignon Université (Public),2023,Licence - Information et communication,110,56,93;6;0
Avignon Université (Public),2010,Licence - Histoire,200,100,64;18;14
Avignon Université (Public),2032,Licence - Informatique,95,100,70;16;12
Avignon Université (Public),2039,Licence - Sciences de la vie et de la terre,75,98,88;6;4
Avignon Université (Public),2033,Licence - Mathématiques Générales,120,100,78;9;6
Avignon Université (Public),2034,Licence - Physique,100,100,85;7;4
ICES - Institut Catholique de Vendée (Privé enseignement supérieur),2029,Licence - LLCER anglais ,60,99,96;3;0
ICES - Institut Catholique de Vendée (Privé enseignement supérieur),2028,Licence - Lettres,50,96,100;0;0
ICES - Institut Catholique de Vendée (Privé enseignement supérieur),2002,Licence - Droit,140,98,92;8;0
ICES - Institut Catholique de Vendée (Privé enseignement supérieur),2036,"Licence - Physique, chimie",50,100,87;0;0
ICES - Institut Catholique de Vendée (Privé enseignement supérieur),2033,Licence - Mathématiques,50,100,95;4;0
ICES - Institut Catholique de Vendée (Privé enseignement supérieur),2037,Licence - Biologie ,60,99,91;8;0
ICES - Institut Catholique de Vendée (Privé enseignement supérieur),2010,Licence - Histoire,60,94,89;7;2
Université de Nantes (La Roche) (Public),2030,"Licence - LEA : LV1:anglais - LV2:chinois, allemand, espagnol, italien",115,100,78;11;9
Université de Nantes (La Roche) (Public),2002,Licence - Droit,120,100,82;11;4
Université de Nantes (La Roche) (Public),2002,Licence - Double cursus : Droit - LEA,190,100,98;1;0
Université de Limoges (Public),2013,Licence - Sociologie,300,100,62;25;11
Université de Limoges (Public),2012,Licence - Géographie et aménagement,100,100,74;18;2
Université de Limoges (Public),2010,Licence - Histoire,300,100,66;19;14
Université de Limoges (Public),2037,Licence - Parcours  classique,250,99,89;9;0
Université de Limoges (Public),2020,Licence - STAPS  Limoges,170,71,84;13;1
Université de Limoges (Public),2033,Licence - Parcours commun Maths Info Physique Chimie Génie Civil,75,100,80;13;3
Université de Limoges (Public),2045,Licence - PACES,810,100,96;2;0
Université de Limoges (Public),2030,Licence - Anglais / Espagnol,120,99,75;19;5
Université de Limoges (Public),2021,Licence - Sciences du langage,160,100,90;7;1
Université de Limoges (Public),2029,Licence - Espagnol,60,100,84;11;3
Université de Limoges (Public),2030,Licence - Anglais / Allemand,25,96,87;12;0
Université de Limoges (Public),2029,Licence - Anglais,150,100,87;8;2
Université de Limoges (Public),2005,Licence - Parcours classique,120,99,74;13;12
Université de Limoges (Public),2006,Licence - Parcours classique,170,100,72;14;13
Université de Limoges (Public),2002,Licence - Droit Limoges,400,100,81;13;4
Université de Limoges (Public),2006,Licence - Parcours Gestion immobilière et métiers de l'immobilier,30,26,66;33;0
Université de Lorraine - Faculté Droit Sciences économiques Gestion - Site d'Epinal (Public),2002,Licence - Droit,160,99,70;18;10
Université de Franche-Comté - Site de Belfort (Public),2036,"Licence - Physique, chimie",30,100,62;25;12
Université de Franche-Comté - Site de Belfort (Public),2044,Licence - Choix d'1 parcours (en 3e année de Licence) : Ingénierie électrique et énergie / Thermique et énergétique,30,98,50;50;0
Université de Franche-Comté - Site de Belfort (Public),2002,Licence - Droit,90,99,58;24;16
Université de Franche-Comté - Site de Belfort (Public),2006,"Licence -  Administration et Gestion des Entreprises, Ressources Humaines",80,99,54;39;6
"Université Paris-Sud, campus d'Orsay (Public)",2037,Licence - Portail Biologie-Chimie-Sciences de la Terre (BCST),340,78,95;4;0
"Université Paris-Sud, campus d'Orsay (Public)",2036,Licence - Portail Physique-Chimie-Sciences de la Terre (PCST),170,99,90;8;0
"Université Paris-Sud, campus d'Orsay (Public)",2033,Licence - Portail Mathématiques-Physique-Informatique (MPI),200,100,89;8;1
"Université Paris-Sud, campus d'Orsay (Public)",2034,Licence - Double licence Mathématiques et Physique,50,62,97;2;0
"Université Paris-Sud, campus d'Orsay (Public)",2037,Licence - Double licence Biologie et Mathématiques ,25,75,100;0;0
"Université Paris-Sud, campus d'Orsay (Public)",2033,Licence - Double licence Economie et Mathématiques,30,57,100;0;0
"Université Paris-Sud, campus d'Orsay (Public)",2020,Licence - Tronc Commun STAPS,305,49,91;7;1
"Université Paris-Sud, campus d'Orsay (Public)",2020,Licence - STAPS - Spécialité Equitation,25,21,100;0;0
"Université Paris-Sud, campus d'Orsay (Public)",2020,Licence - STAPS - Préparation à l'entrée à l'Ecole de Kinésithérapie et de Rééducation de Saint Maurice et à certains IFMK d'Ile de France,75,20,100;0;0
Université d'Evry Val d'Essonne (Public),2006,Licence - Administration économique et sociale,280,100,52;33;13
